id,Exited
165034,0.019888172
165035,0.8026774
165036,0.02667316
165037,0.3130676
165038,0.35826185
165039,0.048266202
165040,0.032961134
165041,0.07814622
165042,0.6849533
165043,0.010539294
165044,0.17622873
165045,0.018173642
165046,0.00867905
165047,0.14359249
165048,0.68484116
165049,0.03311252
165050,0.16889134
165051,0.44873163
165052,0.02412848
165053,0.068114795
165054,0.008701052
165055,0.090631366
165056,0.35968843
165057,0.0021188608
165058,0.49489775
165059,0.18964547
165060,0.949219
165061,0.55228907
165062,0.21955734
165063,0.5105249
165064,0.017075503
165065,0.02889058
165066,0.12399893
165067,0.17946777
165068,0.013809702
165069,0.0054375497
165070,0.79379517
165071,0.018769955
165072,0.0549033
165073,0.8465462
165074,0.5979994
165075,0.17017658
165076,0.14247084
165077,0.007747707
165078,0.3604433
165079,0.15130526
165080,0.010909472
165081,0.07163874
165082,0.0063859816
165083,0.42055866
165084,0.04530669
165085,0.0064482554
165086,0.010171727
165087,0.576114
165088,0.011007273
165089,0.09980419
165090,0.09733188
165091,0.014372308
165092,0.016605865
165093,0.17613846
165094,0.022661816
165095,0.05758064
165096,0.18513331
165097,0.1428263
165098,0.03263833
165099,0.012153168
165100,0.9019636
165101,0.028101012
165102,0.049224548
165103,0.023190647
165104,0.124911726
165105,0.5275772
165106,0.31887084
165107,0.068978086
165108,0.026555147
165109,0.30038524
165110,0.08026516
165111,0.049246162
165112,0.051448137
165113,0.011866012
165114,0.012551762
165115,0.019126931
165116,0.42567593
165117,0.04220653
165118,0.35794392
165119,0.101187244
165120,0.06023989
165121,0.35120395
165122,0.18392222
165123,0.06594437
165124,0.22122192
165125,0.063100465
165126,0.047667578
165127,0.013570655
165128,0.013485208
165129,0.021392435
165130,0.93988246
165131,0.007298507
165132,0.32434174
165133,0.1056085
165134,0.010419498
165135,0.047776833
165136,0.0071645654
165137,0.33631453
165138,0.589824
165139,0.7172798
165140,0.09314109
165141,0.019348122
165142,0.005339578
165143,0.1161628
165144,0.18798399
165145,0.5208544
165146,0.18790193
165147,0.03669511
165148,0.12314659
165149,0.033281572
165150,0.017407216
165151,0.81603867
165152,0.4296497
165153,0.056836147
165154,0.013888077
165155,0.02590627
165156,0.008273456
165157,0.032945435
165158,0.44798037
165159,0.10352919
165160,0.035845347
165161,0.013520034
165162,0.7732409
165163,0.02403845
165164,0.02174598
165165,0.12784517
165166,0.9516339
165167,0.03729973
165168,0.03682983
165169,0.06935206
165170,0.109229304
165171,0.051459912
165172,0.5477911
165173,0.11141062
165174,0.023928268
165175,0.07736099
165176,0.012650284
165177,0.04255115
165178,0.53255594
165179,0.68448097
165180,0.025998302
165181,0.87322336
165182,0.17143945
165183,0.021030454
165184,0.030550314
165185,0.018440688
165186,0.01038479
165187,0.96068054
165188,0.94289535
165189,0.016265431
165190,0.008252414
165191,0.15357
165192,0.15071839
165193,0.22249609
165194,0.30869925
165195,0.10825768
165196,0.3111888
165197,0.6364576
165198,0.6138562
165199,0.08274257
165200,0.34057108
165201,0.662084
165202,0.68303424
165203,0.7839186
165204,0.6324543
165205,0.013827845
165206,0.11193345
165207,0.058024593
165208,0.012631644
165209,0.15414412
165210,0.31299028
165211,0.92545396
165212,0.051125538
165213,0.015518495
165214,0.912839
165215,0.38833746
165216,0.04209484
165217,0.0039769947
165218,0.012546498
165219,0.9128917
165220,0.31408605
165221,0.062409263
165222,0.18960582
165223,0.0987073
165224,0.058165893
165225,0.890639
165226,0.81043345
165227,0.16200617
165228,0.15704295
165229,0.3146209
165230,0.95714265
165231,0.020910528
165232,0.0054305657
165233,0.030430838
165234,0.11558086
165235,0.012584316
165236,0.5368309
165237,0.011702414
165238,0.15152507
165239,0.02093361
165240,0.00986774
165241,0.0073561883
165242,0.3462677
165243,0.013929141
165244,0.65921724
165245,0.00463366
165246,0.040788963
165247,0.025654368
165248,0.046867467
165249,0.2844159
165250,0.01066634
165251,0.008931516
165252,0.27645367
165253,0.381094
165254,0.009406647
165255,0.12861589
165256,0.2735257
165257,0.026127031
165258,0.9050345
165259,0.44314665
165260,0.59919924
165261,0.8756948
165262,0.4713681
165263,0.011341362
165264,0.06443846
165265,0.0333812
165266,0.008994966
165267,0.4313028
165268,0.1336072
165269,0.6442708
165270,0.3210955
165271,0.0298561
165272,0.9759113
165273,0.09151011
165274,0.06425018
165275,0.13250631
165276,0.12442887
165277,0.21727978
165278,0.93159294
165279,0.15480234
165280,0.015397645
165281,0.009878153
165282,0.07803155
165283,0.00962498
165284,0.37292582
165285,0.12230271
165286,0.066899695
165287,0.014942165
165288,0.023124317
165289,0.03298083
165290,0.016580041
165291,0.011557708
165292,0.111482196
165293,0.67681956
165294,0.0068040024
165295,0.1479178
165296,0.040402874
165297,0.02709931
165298,0.014825442
165299,0.042682502
165300,0.35262805
165301,0.116521
165302,0.41518268
165303,0.069042325
165304,0.012808438
165305,0.0057344018
165306,0.015577065
165307,0.15718764
165308,0.03764609
165309,0.14884269
165310,0.08040821
165311,0.101306275
165312,0.8863022
165313,0.01848879
165314,0.0219986
165315,0.17244153
165316,0.20263585
165317,0.005913022
165318,0.760657
165319,0.14667046
165320,0.022915652
165321,0.08937499
165322,0.089990534
165323,0.041953333
165324,0.11714056
165325,0.21019937
165326,0.38987738
165327,0.14593354
165328,0.06316956
165329,0.009469526
165330,0.04325174
165331,0.05805097
165332,0.6938893
165333,0.02737098
165334,0.0046719187
165335,0.010962751
165336,0.14233825
165337,0.2521491
165338,0.27935585
165339,0.16435885
165340,0.09804512
165341,0.040603075
165342,0.012648724
165343,0.0054791835
165344,0.07593892
165345,0.06264871
165346,0.9391107
165347,0.36066967
165348,0.046230752
165349,0.08832146
165350,0.0060883965
165351,0.19934225
165352,0.023161419
165353,0.0144249145
165354,0.11005464
165355,0.084027745
165356,0.014743132
165357,0.039382864
165358,0.07832419
165359,0.030885985
165360,0.86382186
165361,0.03238492
165362,0.10551294
165363,0.18058507
165364,0.015592633
165365,0.9100836
165366,0.004632239
165367,0.18334521
165368,0.17029043
165369,0.6230814
165370,0.2001047
165371,0.0023688676
165372,0.055809896
165373,0.014104473
165374,0.75341135
165375,0.032828946
165376,0.008744421
165377,0.006556352
