id,Exited
165034,0.03555029
165035,0.76373065
165036,0.013165467
165037,0.19627148
165038,0.31157947
165039,0.04942201
165040,0.030504085
165041,0.061889883
165042,0.6843909
165043,0.010715168
165044,0.04491267
165045,0.018028062
165046,0.012046286
165047,0.038656075
165048,0.7174906
165049,0.027136287
165050,0.26579636
165051,0.28010908
165052,0.009617693
165053,0.07806516
165054,0.0074322345
165055,0.08214075
165056,0.35044542
165057,0.0065790014
165058,0.35899323
165059,0.09569162
165060,0.9569517
165061,0.43765542
165062,0.16674398
165063,0.52931577
165064,0.01265555
165065,0.024682326
165066,0.13565026
165067,0.0408992
165068,0.009683386
165069,0.013323907
165070,0.65117306
165071,0.012748321
165072,0.051344976
165073,0.7542714
165074,0.5219762
165075,0.12283843
165076,0.11520441
165077,0.0037848463
165078,0.20374162
165079,0.052914746
165080,0.006399172
165081,0.060141902
165082,0.004362007
165083,0.43497032
165084,0.019027025
165085,0.006341589
165086,0.018973958
165087,0.6415184
165088,0.01797438
165089,0.026426489
165090,0.088789
165091,0.01272979
165092,0.022769775
165093,0.1427947
165094,0.017875481
165095,0.093775876
165096,0.18664384
165097,0.09664083
165098,0.024483714
165099,0.0035081194
165100,0.95056826
165101,0.01595186
165102,0.051349666
165103,0.025705352
165104,0.13818906
165105,0.5700855
165106,0.39994985
165107,0.04849685
165108,0.048087634
165109,0.3020113
165110,0.111181445
165111,0.020603022
165112,0.028381865
165113,0.0190491
165114,0.016704492
165115,0.011662274
165116,0.45381054
165117,0.05379879
165118,0.5462661
165119,0.05168183
165120,0.060519118
165121,0.19477983
165122,0.090671696
165123,0.04298385
165124,0.07233697
165125,0.065227926
165126,0.02920957
165127,0.0130031165
165128,0.010699187
165129,0.03390349
165130,0.96321017
165131,0.014405174
165132,0.1783494
165133,0.09999583
165134,0.011052462
165135,0.04184894
165136,0.00534095
165137,0.38616982
165138,0.5037923
165139,0.5686128
165140,0.12830397
165141,0.017168846
165142,0.004064994
165143,0.15951192
165144,0.10511543
165145,0.42735797
165146,0.10220285
165147,0.014039858
165148,0.07760276
165149,0.02300977
165150,0.013408686
165151,0.58651906
165152,0.25556016
165153,0.020447055
165154,0.01189442
165155,0.033303075
165156,0.004474975
165157,0.018832803
165158,0.7159208
165159,0.1850945
165160,0.007880035
165161,0.010673829
165162,0.77881575
165163,0.011089905
165164,0.022345928
165165,0.077313244
165166,0.9516653
165167,0.019975012
165168,0.020404663
165169,0.083157346
165170,0.093314216
165171,0.035900388
165172,0.5694217
165173,0.05142392
165174,0.03929001
165175,0.01443023
